date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5460502327342301,0.21447098731538414,0.23947877995038575,1.2534895169570262,1.78,3.92,3.84,1.64,4.1,5.12,0.5421708503985968,0.22005173280958007,0.23777741679182315,home,-0.03493588629049771,0.78,0.05981088288101066,0.05630349556881934,0.0403188990869113
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7426471143332259,0.16206770720662053,0.09528517846015351,1.2534895169570262,1.26,5.53,8.7,1.4,5.16,6.87,0.741778423756911,0.16304785494070692,0.09517372130238197,home,-0.0653591860662921,0.26,-0.050585159402670166,-0.05409254671486149,0.06514659624555329
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.24655531090202723,0.23177189798615352,0.5216727911118193,1.2628093538181095,4.87,3.85,1.62,5.11,4.12,1.64,0.24589712012807852,0.23382271833629614,0.5202801615356253,home,0.1975189750237425,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.47570358845281885,0.2905079875142373,0.2337884240329439,1.2628093538181095,1.69,3.58,4.73,1.6,3.79,6.3,0.48114419316719953,0.28239355306042124,0.23646225377237926,away,0.11846646034335406,-1.0,-0.043790308051620264,-0.041465484130195275,0.01610573067181314
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.6540742973499574,0.2050452116318959,0.14088049101814681,1.2628093538181095,1.38,4.56,6.75,1.58,4.13,5.71,0.654946055780401,0.2039856859153386,0.14106825830426048,away,-0.04778925644624177,-1.0,0.03110784811211592,0.03343267203354091,0.012491790226453236
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.28255991990157786,0.26988268251738756,0.4475573975810347,1.2684154946003967,3.39,3.21,2.13,4.31,3.57,1.87,0.2806595905272754,0.27479301582149673,0.444547393651228,home,-0.04856398811253637,-1.0,-0.052524556521885896,-0.05603194383407722,0.02083419159127566
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.46698463146974417,0.23054924279523908,0.3024661257350168,1.2501594473877684,2.23,3.57,3.29,2.34,3.44,3.07,0.46080217901905257,0.24073607208038084,0.2984617489005667,home,0.027588859212487327,-1.0,-0.024892436501043502,-0.028399823813234824,0.014112682075861865
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.4016030360858746,0.3677957441691848,0.23060121974494058,1.2501594473877684,1.23,5.36,10.91,1.26,5.63,12.5,0.4328612273873549,0.31858904054719345,0.2485497320654518,away,1.711677576834079,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.481344622027712,0.2435846878818822,0.2750706900904058,1.2424475395603602,1.77,3.66,4.12,1.69,3.92,4.92,0.4798831556672379,0.2458813283399207,0.2742355159928413,away,0.12985032589050616,-1.0,-0.03098876585994159,-0.028663941938516603,0.018169229622967863
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.5445918722526526,0.24526002788898468,0.21014809985836283,1.2424475395603602,1.53,4.19,5.27,3.01,3.36,2.41,0.5490450215429921,0.23908848926999154,0.21186648918701645,away,0.11653639801557669,-1.0,0.22178132471207812,0.22410614863350312,0.014382442201039672
2024-03-09,2024,2,Zhejiang Professional,Shanghai Port,1,0.34001361522577506,0.21869355634552365,0.4412928284287014,1.2424475395603602,2.66,3.47,2.44,2.71,3.48,2.58,0.33461246712090587,0.23110468233724124,0.43428285054185306,away,0.05965015532212137,-1.0,-0.010335192252064918,-0.008010368330639929,0.02822415193278388
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.28124866651732255,0.2638224235787535,0.45492890990392393,1.2424475395603602,4.21,3.68,1.75,2.93,3.25,2.53,0.2824305511094415,0.2607288020323483,0.4568406468582102,home,0.18903262017074862,-1.0,0.10704273427988356,0.10353534696769225,0.017736719808378244
2024-03-10,2024,2,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,2,0.6697619732524538,0.2518651647401367,0.07837286200740949,1.300931750630777,3.0,3.11,2.41,3.12,3.05,2.52,0.658863561769562,0.2640388646588602,0.07709757357157783,home,0.9765906853086859,-1.0,-0.004930427022410588,-0.00843781433460191,0.02175283688975169
2024-03-10,2024,2,Cangzhou,Chengdu Rongcheng,0,0.20962768861925038,0.23608994484963683,0.5542823665311128,1.300931750630777,6.86,4.54,1.38,4.34,3.6,1.85,0.21196964668328896,0.22755555072621056,0.5604748025905005,home,0.4541117762473623,5.86,0.08605410794914822,0.08254672063695691,0.01211898653995187
2024-03-29,2024,3,Shenzhen Xinpengcheng,Cangzhou,1,0.6331710095417676,0.19830103551077483,0.1685279549474575,1.2791257756909722,2.05,3.34,3.44,2.75,3.07,2.78,0.6174816196358771,0.2181663917122899,0.16435198865183293,home,0.265837320253548,-1.0,-0.10592600773226163,-0.10943339504445294,0.035255308556961414
