date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5516690499301146,0.2677766826813071,0.18055426738857835,0.8502741134921933,1.78,3.92,3.84,1.64,4.1,5.12,draw,0.049684596110723955,-1.0,-0.004278074650932551,-0.0030955112601662124,0.018308071524158705
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7478704101134536,0.18617546136249538,0.06595412852405104,0.8502741134921933,1.26,5.53,8.7,1.4,5.16,6.87,draw,0.02955030133459946,-1.0,0.017943223795715668,0.019125787186482005,0.014843528258480497
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.21233564592995502,0.3135279421752423,0.4741364118948027,0.8571321738358311,4.87,3.85,1.62,5.11,4.12,1.64,draw,0.20708257737468294,-1.0,-0.0084110076726783,-0.007228444281911961,0.019765080353535698
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.3954851731161756,0.43442748856082325,0.1700873383230011,0.8571321738358311,1.69,3.58,4.73,1.6,3.79,6.3,draw,0.5552504090477473,2.58,-0.006182480277919178,-0.004999916887152839,0.02127935923957434
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.669745912464431,0.2453834125520924,0.08487067498347654,0.8571321738358311,1.38,4.56,6.75,1.58,4.13,5.71,draw,0.11894836123754127,-1.0,0.029755510230231458,0.030938073620997795,0.018491136848368273
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.1922939277182654,0.3711671613639202,0.43653891091781444,0.8688601134577106,3.39,3.21,2.13,4.31,3.57,1.87,draw,0.1914465879781837,-1.0,-0.021958126010927836,-0.0207755626201615,0.022002464016954666
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.43305555661854395,0.28609423596205963,0.28085020741939654,0.8584371376874,2.23,3.57,3.29,2.34,3.44,3.07,draw,0.02135642238455282,-1.0,0.007207910061324929,0.008390473452091268,0.008815484882120998
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.2618253467438011,0.5060650980389804,0.2321095552172185,0.8584371376874,1.23,5.36,10.91,1.26,5.63,12.5,draw,1.712508925488935,-1.0,-0.0020115948946740625,-0.0008290315039077242,0.015598234497885157
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.2125449615609823,0.36461348051430353,0.42284155792471423,0.8523990589896262,4.21,3.68,1.75,2.93,3.25,2.53,draw,0.34177760829263715,-1.0,0.043207021884072716,0.044389585274839057,0.020291193041650106
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.451109167981208,0.31019359713521527,0.2386972348835768,0.8523990589896262,1.77,3.66,4.12,1.69,3.92,4.92,draw,0.135308565514888,2.66,-0.009833132493209856,-0.008650569102443518,0.020452794001810815
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.49555529112090285,0.3426141239696317,0.16183058490946545,0.8523990589896262,1.53,4.19,5.27,3.01,3.36,2.41,draw,0.43555317943275695,3.1900000000000004,0.06428827233041123,0.06547083572117757,0.018089611073861353
2024-03-09,2024,2,Zhejiang Professional,Shanghai Port,1,0.2719349667576971,0.26257959093971495,0.465485442302588,0.8523990589896262,2.66,3.47,2.44,2.71,3.48,2.58,away,0.1357844792183147,-1.0,-0.010335192252064918,-0.008010368330639929,0.02822415193278388
2024-03-10,2024,2,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,2,0.6278298001048773,0.29107023449646413,0.08109996539865859,0.8892038718825429,3.0,3.11,2.41,3.12,3.05,2.52,home,0.8834894003146321,-1.0,-0.004930427022410588,-0.00843781433460191,0.02175283688975169
2024-03-10,2024,2,Cangzhou,Chengdu Rongcheng,0,0.15510368238732775,0.2898968864895315,0.5549994311231409,0.8892038718825429,6.86,4.54,1.38,4.34,3.6,1.85,draw,0.3161318646624729,-1.0,0.0629174894608466,0.06410005285161294,0.018311948824684985
2024-03-29,2024,3,Shenzhen Xinpengcheng,Cangzhou,1,0.6633119959475116,0.21186887083005587,0.12481913322243265,0.8754150516045336,2.05,3.34,3.44,2.75,3.07,2.78,home,0.35978959169239855,-1.0,-0.10592600773226163,-0.10943339504445296,0.035255308556961414
2024-03-30,2024,3,Shanghai Port,Henan Songshan Longmen,0,0.7565687725483385,0.17910526186927353,0.06432596558238787,0.8924040380392649,1.39,4.99,5.98,1.54,4.25,5.78,home,0.0516305938421906,0.3899999999999999,-0.04786089491180989,-0.051368282224001215,0.057610472385922436
2024-03-30,2024,3,Qingdao West Coast,Qingdao Hainiu,0,0.2984742616594872,0.292793640700591,0.40873209763992185,0.8924040380392649,2.89,3.38,2.3,2.54,3.06,3.04,draw,-0.010357494432002512,-1.0,0.036607985982714475,0.037790549373480815,0.021065932206822766
2024-03-30,2024,3,Wuhan Three Towns,Beijing Guoan,2,0.38993667429395573,0.34770279768203877,0.2623605280240055,0.8924040380392649,2.4,3.4,2.73,2.52,3.01,2.87,draw,0.18218951211893186,-1.0,0.03526680709241442,0.03644937048318076,0.021049379992056826
2024-03-30,2024,3,Chengdu Rongcheng,Nantong Zhiyun,0,0.5932399472029621,0.30927261520728233,0.09748743758975563,0.8924040380392649,1.38,4.58,6.91,1.48,4.31,6.65,draw,0.4164685776493531,-1.0,0.01854788226728457,0.019730445658050908,0.017603831293085348
2024-03-31,2024,3,Changchun Yatai,Tianjin Jinmen Tiger,2,0.3202712467044375,0.34450306888304605,0.3352256844125165,0.8657329192695971,2.89,3.28,2.33,2.85,3.12,2.65,draw,0.12997006593639093,-1.0,0.02334186502438612,0.02452442841515246,0.02260534627831848
