threshold,n_bets,roi,se,t,profit,win_rate
0.0,674,-0.04188427299703265,0.03296406518811028,-1.2706039973534509,-28.230000000000008,0.47032640949554894
0.02,602,-0.04514119601328904,0.035004692978479725,-1.289575544657428,-27.175,0.46677740863787376
0.05,519,-0.049518304431599235,0.03757802997963176,-1.3177461526971852,-25.700000000000003,0.4605009633911368
0.1,392,-0.08267857142857143,0.042930999682377236,-1.925847803225281,-32.410000000000004,0.4413265306122449
