date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5460502327342301,0.21447098731538414,0.23947877995038575,1.2534895169570262,1.78,3.92,3.84,1.64,4.1,5.12,0.5344120857273301,0.2312132237979719,0.23437469047469797,home,-0.04874648740535237,0.78,0.05981088288101066,0.05630349556881934,0.0403188990869113
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7426471143332259,0.16206770720662053,0.09528517846015351,1.2534895169570262,1.26,5.53,8.7,1.4,5.16,6.87,0.7400410426042814,0.16500815040887976,0.0949508069868389,home,-0.06754828631860543,0.26,-0.050585159402670166,-0.05409254671486149,0.06514659624555329
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.24655531090202723,0.23177189798615352,0.5216727911118193,1.2628093538181095,4.87,3.85,1.62,5.11,4.12,1.64,0.24458073858018117,0.2379243590365814,0.5174949023832375,home,0.19110819688548242,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.47570358845281885,0.2905079875142373,0.2337884240329439,1.2628093538181095,1.69,3.58,4.73,1.6,3.79,6.3,0.49202540259596095,0.26616468415278915,0.24180991325124998,away,0.1437608896784126,-1.0,-0.043790308051620264,-0.041465484130195275,0.01610573067181314
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.6540742973499574,0.2050452116318959,0.14088049101814681,1.2628093538181095,1.38,4.56,6.75,1.58,4.13,5.71,0.6566895726412882,0.20186663448222408,0.14144379287648784,away,-0.045254398083707126,-1.0,0.03110784811211592,0.03343267203354091,0.012491790226453236
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.28255991990157786,0.26988268251738756,0.4475573975810347,1.2684154946003967,3.39,3.21,2.13,4.31,3.57,1.87,0.27685893177867044,0.28461368242971496,0.43852738579161465,home,-0.061448221270307135,-1.0,-0.052524556521885896,-0.05603194383407722,0.02083419159127566
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.46698463146974417,0.23054924279523908,0.3024661257350168,1.2501594473877684,2.23,3.57,3.29,2.34,3.44,3.07,0.4484372741176692,0.26110973065066445,0.29045299523166646,home,1.5121282402219549e-05,-1.0,-0.024892436501043502,-0.028399823813234824,0.014112682075861865
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.4016030360858746,0.3677957441691848,0.23060121974494058,1.2501594473877684,1.23,5.36,10.91,1.26,5.63,12.5,0.49537760999031516,0.22017563330321066,0.2844467567064742,away,2.1033141156676334,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.481344622027712,0.2435846878818822,0.2750706900904058,1.2424475395603602,1.77,3.66,4.12,1.69,3.92,4.92,0.4769602229462899,0.2504746092559976,0.2725651677977124,away,0.12296849132657517,-1.0,-0.03098876585994159,-0.028663941938516603,0.018169229622967863
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.5445918722526526,0.24526002788898468,0.21014809985836283,1.2424475395603602,1.53,4.19,5.27,3.01,3.36,2.41,0.5579513201236711,0.2267454120320053,0.21530326784432374,away,0.1346482215395861,-1.0,0.22178132471207812,0.22410614863350312,0.014382442201039672
