date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5460502327342301,0.21447098731538414,0.23947877995038575,1.2534895169570262,1.78,3.92,3.84,1.64,4.1,5.12,home,-0.02803058573307038,0.78,0.05981088288101066,0.05630349556881934,0.0403188990869113
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7426471143332259,0.16206770720662053,0.09528517846015351,1.2534895169570262,1.26,5.53,8.7,1.4,5.16,6.87,home,-0.06426463594013532,0.26,-0.050585159402670166,-0.05409254671486149,0.06514659624555329
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.24655531090202723,0.23177189798615352,0.5216727911118193,1.2628093538181095,4.87,3.85,1.62,5.11,4.12,1.64,home,0.20072436409287264,-1.0,-0.0030119918155975534,-0.0065193791277888755,0.01562537153205594
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.47570358845281885,0.2905079875142373,0.2337884240329439,1.2628093538181095,1.69,3.58,4.73,1.6,3.79,6.3,away,0.10581924567582468,-1.0,-0.043790308051620264,-0.041465484130195275,0.01610573067181314
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.6540742973499574,0.2050452116318959,0.14088049101814681,1.2628093538181095,1.38,4.56,6.75,1.58,4.13,5.71,away,-0.04905668562750898,-1.0,0.03110784811211592,0.03343267203354091,0.012491790226453236
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.28255991990157786,0.26988268251738756,0.4475573975810347,1.2684154946003967,3.39,3.21,2.13,4.31,3.57,1.87,home,-0.04212187153365099,-1.0,-0.052524556521885896,-0.05603194383407722,0.02083419159127566
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.46698463146974417,0.23054924279523908,0.3024661257350168,1.2501594473877684,2.23,3.57,3.29,2.34,3.44,3.07,home,0.04137572817752955,-1.0,-0.024892436501043502,-0.028399823813234824,0.014112682075861865
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.4016030360858746,0.3677957441691848,0.23060121974494058,1.2501594473877684,1.23,5.36,10.91,1.26,5.63,12.5,away,1.5158593074173017,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.481344622027712,0.2435846878818822,0.2750706900904058,1.2424475395603602,1.77,3.66,4.12,1.69,3.92,4.92,away,0.13329124317247198,-1.0,-0.03098876585994159,-0.028663941938516603,0.018169229622967863
2024-03-09,2024,2,Shandong Taishan,Beijing Guoan,1,0.5445918722526526,0.24526002788898468,0.21014809985836283,1.2424475395603602,1.53,4.19,5.27,3.01,3.36,2.41,away,0.1074804862535721,-1.0,0.22178132471207812,0.22410614863350312,0.014382442201039672
2024-03-09,2024,2,Zhejiang Professional,Shanghai Port,1,0.34001361522577506,0.21869355634552365,0.4412928284287014,1.2424475395603602,2.66,3.47,2.44,2.71,3.48,2.58,away,0.07675450136603135,-1.0,-0.010335192252064918,-0.008010368330639929,0.02822415193278388
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.28124866651732255,0.2638224235787535,0.45492890990392393,1.2424475395603602,4.21,3.68,1.75,2.93,3.25,2.53,home,0.1840568860379279,-1.0,0.10704273427988356,0.10353534696769225,0.017736719808378244
2024-03-10,2024,2,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,2,0.6697619732524538,0.2518651647401367,0.07837286200740949,1.300931750630777,3.0,3.11,2.41,3.12,3.05,2.52,home,1.0092859197573611,-1.0,-0.004930427022410588,-0.00843781433460191,0.02175283688975169
2024-03-10,2024,2,Cangzhou,Chengdu Rongcheng,0,0.20962768861925038,0.23608994484963683,0.5542823665311128,1.300931750630777,6.86,4.54,1.38,4.34,3.6,1.85,home,0.43804594392805773,5.86,0.08605410794914822,0.08254672063695691,0.01211898653995187
2024-03-29,2024,3,Shenzhen Xinpengcheng,Cangzhou,1,0.6331710095417676,0.19830103551077483,0.1685279549474575,1.2791257756909722,2.05,3.34,3.44,2.75,3.07,2.78,home,0.2980005695606236,-1.0,-0.10592600773226163,-0.10943339504445294,0.035255308556961414
2024-03-30,2024,3,Shanghai Port,Henan Songshan Longmen,0,0.7079274871280868,0.17309302423268103,0.11897948863923216,1.3022834907217806,1.39,4.99,5.98,1.54,4.25,5.78,home,-0.015980792891959306,0.3899999999999999,-0.04786089491180989,-0.051368282224001215,0.057610472385922436
2024-03-30,2024,3,Qingdao West Coast,Qingdao Hainiu,0,0.16190019883764464,0.20967761529138998,0.6284221858709653,1.3022834907217806,2.89,3.38,2.3,2.54,3.06,3.04,away,0.4453710275032201,-1.0,-0.09037612102455234,-0.08805129710312734,0.03095776124306998
2024-03-30,2024,3,Wuhan Three Towns,Beijing Guoan,2,0.4344941930883979,0.24539331622935667,0.3201124906822455,1.3022834907217806,2.4,3.4,2.73,2.52,3.01,2.87,home,0.04278606341215485,-1.0,-0.018557595321119835,-0.022064982633311157,0.02981995498874717
2024-03-30,2024,3,Chengdu Rongcheng,Nantong Zhiyun,0,0.5894696831457811,0.24981246022171255,0.16071785663250643,1.3022834907217806,1.38,4.58,6.91,1.48,4.31,6.65,draw,0.14414106781544356,-1.0,0.01854788226728457,0.019730445658050908,0.017603831293085348
2024-03-31,2024,3,Changchun Yatai,Tianjin Jinmen Tiger,2,0.32864963274963643,0.2587013580227927,0.41264900922757086,1.2617958092174815,2.89,3.28,2.33,2.85,3.12,2.65,away,-0.0385278084997599,1.33,-0.03754452507212053,-0.03521970115069554,0.031822118366044906
2024-03-31,2024,3,Shandong Taishan,Shanghai Shenhua,2,0.4933985295874441,0.2902567344443443,0.21634473596821158,1.2617958092174815,2.47,3.5,2.59,2.61,3.11,2.9,home,0.2186943680809872,-1.0,-0.010960856151200626,-0.014468243463391949,0.028831121105638454
2024-03-31,2024,3,Meizhou Hakka,Zhejiang Professional,2,0.2658138451925795,0.21359184513895738,0.5205943096684631,1.2617958092174815,3.27,3.31,2.13,3.17,3.58,2.19,away,0.10886587959382643,1.13,-0.0014577355724841867,0.0008670883489408018,0.033731064965101275
2024-04-04,2024,4,Wuhan Three Towns,Cangzhou,2,0.6413829080718166,0.1928861480505932,0.16573094387759016,1.234294153325683,1.42,4.77,5.74,1.82,3.46,4.13,away,-0.04870438214263251,4.74,0.06395841862039348,0.06628324254181847,0.01410350896382315
2024-04-05,2024,4,Nantong Zhiyun,Meizhou Hakka,0,0.46806902609032774,0.2560937551614742,0.27583721874819805,1.227375330800056,2.3,3.35,2.91,1.85,3.43,4.55,home,0.07655876000775375,1.2999999999999998,0.11016418136476996,0.10665679405257865,0.031059501827161926
2024-04-05,2024,4,Qingdao Hainiu,Shandong Taishan,2,0.175167882191112,0.2269027099906444,0.5979294078182437,1.227375330800056,5.89,4.01,1.5,4.66,3.99,1.69,home,0.03173882610564971,-1.0,0.04667257525434376,0.04316518794215244,0.01341921424490628
2024-04-05,2024,4,Beijing Guoan,Shanghai Port,1,0.3617805919869326,0.24519254505485524,0.3930268629582122,1.227375330800056,3.04,3.29,2.23,3.1,3.21,2.41,home,0.09981299964027501,-1.0,0.00329288489512497,-0.0002145024170663516,0.024740879357094903
2024-04-05,2024,4,Changchun Yatai,Shanghai Shenhua,2,0.23515353463623356,0.25680184073373336,0.5080446246300331,1.227375330800056,3.84,3.49,2.03,6.29,3.71,1.6,away,0.03133058799896715,1.0299999999999998,0.11938234092362099,0.12170716484504598,0.0187462970144716
2024-04-05,2024,4,Henan Songshan Longmen,Shenzhen Xinpengcheng,2,0.4251282473186341,0.24106383980380774,0.3338079128775582,1.227375330800056,2.14,3.25,3.28,1.72,3.48,5.41,away,0.09488995423839075,2.28,-0.10689082620321172,-0.10456600228178672,0.022546980590735375
2024-04-06,2024,4,Tianjin Jinmen Tiger,Chengdu Rongcheng,2,0.30478587760024056,0.29551268758078136,0.3997014348189781,1.2129837088956692,2.66,2.98,2.74,2.93,3.04,2.63,away,0.09518193140400011,1.7400000000000002,0.022923060654590433,0.02524788457601542,0.02592738792877484
2024-04-06,2024,4,Zhejiang Professional,Qingdao West Coast,2,0.8354261151713179,0.10910053645492337,0.055473348373758766,1.2129837088956692,1.43,4.25,6.21,1.6,4.17,5.31,home,0.1946593446949847,-1.0,-0.04479840223100462,-0.04830578954319594,0.0610344714861491
2024-04-09,2024,5,Shandong Taishan,Henan Songshan Longmen,1,0.6668609598744495,0.2079527495563355,0.12518629056921496,1.2016510582413367,1.38,4.44,6.84,1.54,4.59,5.31,draw,-0.07668979196987036,3.4400000000000004,0.0009155967809322263,0.0020981601716985646,0.019739331808297317
2024-04-09,2024,5,Shanghai Shenhua,Wuhan Three Towns,0,0.44572571882153755,0.27426328642102443,0.28001099475743807,1.2016510582413367,1.81,3.54,4.07,1.42,4.62,7.37,away,0.139644748662773,-1.0,-0.09891279538534159,-0.0965879714639166,0.018341550935165988
2024-04-09,2024,5,Nantong Zhiyun,Shanghai Port,2,0.19018204083167353,0.233516377591849,0.5763015815764774,1.2016510582413367,6.19,3.99,1.48,6.3,4.94,1.44,home,0.17722683274805928,-1.0,0.001864754711708494,-0.0016426326004828277,0.013046569350719557
2024-04-09,2024,5,Beijing Guoan,Shenzhen Xinpengcheng,2,0.5148886697048891,0.22874843241664206,0.2563628978784689,1.2016510582413367,1.43,4.34,6.27,1.75,3.58,4.89,away,0.6073953696979999,5.27,0.047363104757870145,0.04968792867929513,0.013062081332469232
2024-04-10,2024,5,Cangzhou,Changchun Yatai,0,0.46324346111846754,0.22816721748401075,0.30858932139752177,1.2066233545056018,2.07,3.46,3.28,2.05,3.52,3.65,away,0.012172974183871421,-1.0,-0.021127141196496446,-0.018802317275071458,0.021793853148763698
2024-04-10,2024,5,Qingdao West Coast,Tianjin Jinmen Tiger,2,0.20287020055876756,0.2212665857639012,0.5758632136773313,1.2066233545056018,2.9,3.27,2.33,3.65,3.48,2.06,away,0.34176128786818194,1.33,0.06629086683431518,0.06861569075574017,0.03172613726188605
2024-04-10,2024,5,Meizhou Hakka,Qingdao Hainiu,1,0.4032308345442562,0.2425118183043312,0.3542573471514127,1.2066233545056018,2.16,3.48,3.06,3.3,3.1,2.36,away,0.08402748228332291,-1.0,0.1004049886541094,0.1027298125755344,0.023397211252998727
2024-04-10,2024,5,Chengdu Rongcheng,Zhejiang Professional,0,0.4846644180125608,0.24518463698574267,0.2701509450016966,1.2066233545056018,1.84,3.43,4.08,1.71,3.95,4.59,away,0.10221585560692215,-1.0,-0.020571387923928736,-0.018246564002503747,0.01818093629904354
2024-04-13,2024,6,Henan Songshan Longmen,Nantong Zhiyun,1,0.42216724578593806,0.28978187870143135,0.28805087551263053,1.2017549974165214,1.88,3.4,3.87,1.99,3.18,4.28,away,0.11475688823388008,-1.0,-0.015892851891825627,-0.013568027970400638,0.020118080734943797
2024-04-13,2024,6,Shanghai Shenhua,Beijing Guoan,1,0.432161484937055,0.28559645292846114,0.28224206213448383,1.2017549974165214,2.18,3.1,3.38,1.5,4.1,6.84,away,-0.046021829985444684,-1.0,-0.1363210640752215,-0.1339962401537965,0.021191668320449546
2024-04-14,2024,6,Tianjin Jinmen Tiger,Meizhou Hakka,1,0.5681106038145913,0.2284672481649761,0.2034221480204325,1.2379908477492232,1.78,3.59,4.07,1.41,4.52,8.0,home,0.011236874789972484,-1.0,0.15466852088031735,0.15116113356812602,0.04451218064150374
2024-04-14,2024,6,Qingdao Hainiu,Zhejiang Professional,0,0.2728037026419877,0.23218187607124482,0.4950144212867674,1.2379908477492232,3.55,3.08,2.1,2.42,3.39,2.93,away,0.03953028470221165,-1.0,-0.11467818898599635,-0.11235336506457136,0.03631438494857247
2024-04-14,2024,6,Shenzhen Xinpengcheng,Wuhan Three Towns,1,0.42463167073852576,0.22911331115971834,0.3462550181017558,1.2379908477492232,2.18,3.33,3.12,2.31,3.1,3.4,away,0.08031565647747807,-1.0,-0.01668155435503932,-0.01435673043361433,0.023612130959189927
2024-04-14,2024,6,Shanghai Port,Shandong Taishan,0,0.4274967363838819,0.25299061218068636,0.3195126514354317,1.2379908477492232,1.51,4.05,5.46,1.56,4.64,4.96,away,0.7445390768374571,-1.0,0.02286082819697402,0.02518565211839901,0.015478666333680037
2024-04-14,2024,6,Changchun Yatai,Chengdu Rongcheng,2,0.20978551511378118,0.23270913348753058,0.5575053513986882,1.2379908477492232,3.89,3.54,1.83,5.08,4.09,1.63,away,0.02023479305959941,0.8300000000000001,0.07842504759089497,0.08074987151231997,0.043274615247533885
2024-04-14,2024,6,Cangzhou,Qingdao West Coast,0,0.6078427821919107,0.19187051854068973,0.20028669926739953,1.2379908477492232,1.69,3.59,4.68,1.96,3.52,3.88,home,0.02725430190432898,0.69,-0.060919846699216185,-0.0644272340114075,0.04582368488468727
2024-04-19,2024,7,Zhejiang Professional,Tianjin Jinmen Tiger,0,0.4819577877524566,0.24517373228426007,0.2728684799632834,1.245354936264892,2.24,3.5,2.89,2.07,3.54,3.5,home,0.07958544456550287,1.2400000000000002,0.045458164899865594,0.04195077758767427,0.03236472822838805
2024-04-20,2024,7,Shandong Taishan,Cangzhou,0,0.7120211186009335,0.17290504996994666,0.11507383142911977,1.2398824150142145,1.47,4.29,5.59,1.43,5.09,6.16,home,0.046671044343372214,0.47,0.038091334902835894,0.03458394759064457,0.05746242586977059
2024-04-20,2024,7,Chengdu Rongcheng,Shenzhen Xinpengcheng,0,0.5124320230593417,0.24827315988847223,0.23929481705218622,1.2398824150142145,1.4,4.72,6.15,1.46,4.43,6.89,away,0.4716631248709453,-1.0,-0.011880016466876753,-0.009555192545451764,0.013254792404182236
2024-04-20,2024,7,Wuhan Three Towns,Changchun Yatai,1,0.6311560486097817,0.19444692337489297,0.1743970280153252,1.2398824150142145,1.81,4.01,3.59,1.64,3.89,5.29,home,0.14239244798370487,-1.0,0.06613120079478729,0.06262381348259598,0.041121057960642526
2024-04-20,2024,7,Nantong Zhiyun,Shanghai Shenhua,2,0.2194016048479729,0.30847410971413786,0.4721242854378892,1.2398824150142145,7.32,4.51,1.35,8.55,4.25,1.42,home,0.6060197474871616,-1.0,-0.01358992739767595,-0.01709731470986727,0.012315572222636663
2024-04-21,2024,7,Henan Songshan Longmen,Qingdao Hainiu,0,0.4428062385896901,0.263464108055449,0.29372965335486084,1.2510526788571144,1.98,3.7,3.29,1.95,3.27,4.29,draw,-0.02518280019483865,-1.0,0.04034958708703751,0.04153215047780385,0.01985125223327366
2024-04-21,2024,7,Beijing Guoan,Qingdao West Coast,0,0.7429703473518966,0.14628908842299657,0.11074056422510688,1.2510526788571144,1.41,4.32,6.49,1.36,5.48,7.22,home,0.04758818976617407,0.4099999999999999,0.04829982064055183,0.044792433328360505,0.06140302362465172
2024-04-26,2024,8,Chengdu Rongcheng,Shandong Taishan,2,0.3982704370486943,0.2726926015889582,0.3290369613623475,1.242023899448058,2.22,3.38,3.02,1.84,4.04,3.8,away,-0.006308376685710493,2.02,-0.05769079043793707,-0.05536596651651208,0.023797726109102524
2024-04-26,2024,8,Shenzhen Xinpengcheng,Qingdao Hainiu,2,0.505591687816832,0.2250428088360396,0.2693655033471285,1.242023899448058,2.05,3.14,3.63,2.24,3.02,3.68,home,0.03646296002450544,-1.0,-0.025480701632794533,-0.028988088944985856,0.03686784908534778
2024-04-26,2024,8,Changchun Yatai,Meizhou Hakka,2,0.46751336953691264,0.23645460314261998,0.2960320273204674,1.242023899448058,1.91,3.31,3.88,1.85,3.19,5.03,away,0.14860426600341348,2.88,-0.04905856818355503,-0.04673374426213004,0.019841705636910616
2024-04-26,2024,8,Cangzhou,Henan Songshan Longmen,2,0.39057295205046383,0.25172318722527953,0.35770386072425664,1.242023899448058,2.78,3.2,2.45,3.95,3.74,1.88,home,0.08579280670028933,-1.0,-0.09240538209522042,-0.09591276940741174,0.026761111177308634
2024-04-26,2024,8,Zhejiang Professional,Beijing Guoan,2,0.3939516276630987,0.2421983523822231,0.3638500199546781,1.242023899448058,2.82,3.26,2.39,3.22,3.77,2.11,home,0.11094359000993825,-1.0,-0.032570512343130464,-0.036077899655321786,0.026196987127954346
2024-04-26,2024,8,Wuhan Three Towns,Tianjin Jinmen Tiger,0,0.49074463888380515,0.2532531882565029,0.2560021728596919,1.242023899448058,2.34,3.51,2.75,1.98,3.53,3.79,home,0.14834245498810406,1.3399999999999999,0.08279234565540944,0.07928495834321812,0.030142916517495278
2024-04-26,2024,8,Qingdao West Coast,Nantong Zhiyun,2,0.3502127447621791,0.24601466304603695,0.4037725921917839,1.242023899448058,2.35,3.07,3.08,2.45,3.26,2.99,away,0.2436195839506945,2.08,0.016956700934250446,0.019281524855675435,0.022915669997621325
2024-04-27,2024,8,Shanghai Port,Shanghai Shenhua,1,0.5017404031277549,0.24959045531442903,0.24866914155781616,1.1892525468865445,2.05,3.55,3.69,1.85,3.84,3.96,home,0.02856782641189759,-1.0,0.04427997483572799,0.040772587523536664,0.018986095950468036
2024-04-30,2024,9,Shandong Taishan,Nantong Zhiyun,0,0.647250552248796,0.2247132626742237,0.12803618507698034,1.2069300665684572,1.32,5.06,7.6,1.26,5.74,10.93,draw,0.13704910913157176,-1.0,-0.01739285795736273,-0.01621029456659639,0.015781273939082886
