Season,Round,Home,Away,line,T,ev_cal,pl_cal,ev_unc,pl_unc
2023,17,Zhejiang Professional,Tianjin Jinmen Tiger,-0.25,1.490554205970191,-0.01915074956103386,0.8700000000000001,-0.04249255718475278,0.8700000000000001
2023,17,Nantong Zhiyun,Shandong Taishan,1.0,1.490554205970191,0.33025945908834814,1.0099999999999998,0.4499192942225454,1.0099999999999998
2023,17,Shenzhen,Shanghai Port,2.5,1.490554205970191,0.11699237607033296,-1.0,0.2165252670132902,-1.0
2023,17,Beijing Guoan,Wuhan Three Towns,0.0,1.490554205970191,0.12014849168817476,0.0,0.14191216607978613,0.0
2023,17,Dalian Pro,Changchun Yatai,0.0,1.490554205970191,0.08738816474627405,0.0,0.1101490863707656,0.0
2023,17,Cangzhou,Chengdu Rongcheng,0.75,1.3963120836738425,0.2523489422389865,1.0099999999999998,0.32140426815332485,1.0099999999999998
2023,17,Qingdao Hainiu,Henan Songshan Longmen,-0.25,1.3963120836738425,0.2479589358582213,0.94,0.25915046549439974,0.94
2023,17,Shanghai Shenhua,Meizhou Hakka,-1.0,1.3963120836738425,0.07442469147478235,0.0,0.022970516094472964,0.0
2023,18,Henan Songshan Longmen,Nantong Zhiyun,-0.25,1.4225209738726727,0.15876991322452555,0.495,0.21117036669715936,0.495
2023,18,Shanghai Port,Cangzhou,-1.75,1.4225209738726727,-0.05229808474663511,0.8999999999999999,-0.006689649914626633,-1.0
2023,18,Tianjin Jinmen Tiger,Shenzhen,-2.0,1.4225209738726727,0.5431031173894011,0.9299999999999999,0.6519800757770057,0.9299999999999999
2023,18,Chengdu Rongcheng,Dalian Pro,-1.25,1.3587454604144191,0.11961293501445756,-1.0,0.2025529601373188,-1.0
2023,18,Beijing Guoan,Qingdao Hainiu,-1.0,1.3587454604144191,0.09688694102791125,-1.0,0.14338549346993812,-1.0
2023,18,Zhejiang Professional,Shandong Taishan,0.5,1.3587454604144191,-0.0431808600750709,-1.0,-0.00528199919761955,0.8300000000000001
2023,18,Changchun Yatai,Shanghai Shenhua,0.0,1.3587454604144191,0.0558770245262627,0.0,0.07087599230992163,0.0
2023,18,Wuhan Three Towns,Meizhou Hakka,-1.75,1.3629562999606977,-0.04621200678923911,-1.0,-0.028898735695034383,0.81
2023,19,Henan Songshan Longmen,Shenzhen,-1.5,1.3586355642078434,0.3295677649897573,-1.0,0.4180385725541423,-1.0
2023,19,Chengdu Rongcheng,Zhejiang Professional,-0.75,1.3624068045032156,0.1209236429695076,-1.0,0.12250531233195239,-1.0
2023,19,Meizhou Hakka,Dalian Pro,-0.25,1.3624068045032156,-0.015543081901327672,0.8600000000000001,-0.026480949987067903,0.8600000000000001
2023,19,Nantong Zhiyun,Cangzhou,0.0,1.3624068045032156,0.10027343928647024,-1.0,0.10286555146486295,-1.0
2023,19,Shanghai Shenhua,Shanghai Port,0.5,1.3624068045032156,0.1535384349826466,-1.0,0.223000208775909,-1.0
2023,19,Tianjin Jinmen Tiger,Changchun Yatai,-0.25,1.3624068045032156,-0.0286702708625528,-0.5,-0.04622901897770698,-0.5
2023,19,Shandong Taishan,Beijing Guoan,-0.75,1.4203155197979367,0.049232302228012156,-1.0,0.11270572275421376,-1.0
2023,19,Wuhan Three Towns,Qingdao Hainiu,-1.5,1.4203155197979367,0.1088586897464903,0.79,0.1863342170365701,0.79
2023,20,Shanghai Port,Tianjin Jinmen Tiger,-1.25,1.4239563411554876,-0.037897418145767886,-0.5,0.0076824361190735175,0.49
2023,20,Qingdao Hainiu,Chengdu Rongcheng,0.5,1.422633418886168,-0.008605347389295654,0.8700000000000001,0.03481858074468459,0.8700000000000001
2023,20,Shandong Taishan,Meizhou Hakka,-1.5,1.422633418886168,-0.023213967230317493,0.8999999999999999,-0.03732396883258724,-1.0
2023,20,Beijing Guoan,Henan Songshan Longmen,-1.0,1.422633418886168,-0.017447159252666045,-1.0,0.036025854457818064,-1.0
2023,20,Changchun Yatai,Nantong Zhiyun,-0.5,1.422633418886168,0.018916833807303444,-1.0,0.0017011086330430154,-1.0
2023,20,Zhejiang Professional,Wuhan Three Towns,0.25,1.422633418886168,0.034653657888549495,0.9299999999999999,0.05835322496242113,0.9299999999999999
2023,20,Dalian Pro,Shanghai Shenhua,0.25,1.430730644528722,0.012466853987393979,0.8799999999999999,0.0566719284906062,0.8799999999999999
2023,20,Cangzhou,Shenzhen,-1.75,1.430730644528722,0.05836652591310473,0.8300000000000001,0.1254475509117092,0.8300000000000001
