date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-03-01,2024,1,Shanghai Port,Wuhan Three Towns,0,0.5516690499301146,0.2677766826813071,0.18055426738857835,0.8502741134921933,1.78,3.92,3.84,1.64,4.1,5.12,0.5575047709647275,0.2600310043340223,0.18246422470125004,draw,0.01932153698936756,-1.0,-0.004278074650932551,-0.0030955112601662124,0.018308071524158705
2024-03-01,2024,1,Shandong Taishan,Changchun Yatai,0,0.7478704101134536,0.18617546136249538,0.06595412852405104,0.8502741134921933,1.26,5.53,8.7,1.4,5.16,6.87,0.7525081979040787,0.18112867055761306,0.06636313153830824,draw,0.0016415481836002943,-1.0,0.017943223795715668,0.019125787186482005,0.014843528258480497
2024-03-02,2024,1,Cangzhou,Beijing Guoan,2,0.21233564592995502,0.3135279421752423,0.4741364118948027,0.8571321738358311,4.87,3.85,1.62,5.11,4.12,1.64,0.21802337685017692,0.2951397514781127,0.4868368716717106,draw,0.13628804319073407,-1.0,-0.0084110076726783,-0.007228444281911961,0.019765080353535698
2024-03-02,2024,1,Tianjin Jinmen Tiger,Nantong Zhiyun,1,0.3954851731161756,0.43442748856082325,0.1700873383230011,0.8571321738358311,1.69,3.58,4.73,1.6,3.79,6.3,0.42631878924593214,0.39033317884536073,0.183348031908707,draw,0.39739278026639147,2.58,-0.006182480277919178,-0.004999916887152839,0.02127935923957434
2024-03-02,2024,1,Chengdu Rongcheng,Qingdao Hainiu,0,0.669745912464431,0.2453834125520924,0.08487067498347654,0.8571321738358311,1.38,4.56,6.75,1.58,4.13,5.71,0.6796366297340777,0.23423933660548601,0.08612403366043632,draw,0.06813137492101617,-1.0,0.029755510230231458,0.030938073620997795,0.018491136848368273
2024-03-03,2024,1,Meizhou Hakka,Shanghai Shenhua,2,0.1922939277182654,0.3711671613639202,0.43653891091781444,0.8688601134577106,3.39,3.21,2.13,4.31,3.57,1.87,0.19853544381757457,0.35075637495639617,0.4507081812260293,draw,0.12592796361003167,-1.0,-0.021958126010927836,-0.0207755626201615,0.022002464016954666
2024-03-08,2024,2,Qingdao Hainiu,Changchun Yatai,2,0.43305555661854395,0.28609423596205963,0.28085020741939654,0.8584371376874,2.23,3.57,3.29,2.34,3.44,3.07,0.4352996258469405,0.2823948169554963,0.28230555719756323,draw,0.008149496531121736,-1.0,0.007207910061324929,0.008390473452091268,0.008815484882120998
2024-03-08,2024,2,Shanghai Shenhua,Qingdao West Coast,0,0.2618253467438011,0.5060650980389804,0.2321095552172185,0.8584371376874,1.23,5.36,10.91,1.26,5.63,12.5,0.3062323476079119,0.4222910559495401,0.2714765964425479,away,1.9618096671881977,-1.0,-0.007897350884306445,-0.005572526962881456,0.007663293942132397
2024-03-09,2024,2,Nantong Zhiyun,Wuhan Three Towns,2,0.2125449615609823,0.36461348051430353,0.42284155792471423,0.8523990589896262,4.21,3.68,1.75,2.93,3.25,2.53,0.22200879391934983,0.33632209473401076,0.44166911134663955,draw,0.23766530862115953,-1.0,0.043207021884072716,0.044389585274839057,0.020291193041650106
2024-03-09,2024,2,Henan Songshan Longmen,Meizhou Hakka,1,0.451109167981208,0.31019359713521527,0.2386972348835768,0.8523990589896262,1.77,3.66,4.12,1.69,3.92,4.92,0.46049721775180913,0.2958380102799205,0.24366477196827033,draw,0.08276711762450906,2.66,-0.009833132493209856,-0.008650569102443518,0.020452794001810815
