fixture_id,round,match_date,match_time,kickoff_at,home_team,away_team,home_win_prob,draw_prob,away_win_prob,debias_method,onexbet_open_home_odds,onexbet_open_draw_odds,onexbet_open_away_odds,onexbet_open_home_ev,onexbet_open_draw_ev,onexbet_open_away_ev,onexbet_open_last_update,duel_open_home_odds,duel_open_draw_odds,duel_open_away_odds,duel_open_home_ev,duel_open_draw_ev,duel_open_away_ev,duel_open_last_update,best_open_home_odds,best_open_draw_odds,best_open_away_odds,best_open_home_ev,best_open_draw_ev,best_open_away_ev,best_open_home_book,best_open_draw_book,best_open_away_book,signal_pick,signal_state,signal_book,signal_books,fetched_at
CSL-2026-25-2026-08-28-dalian-yingbo-beijing-guoan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Dalian Yingbo,Beijing Guoan,0.3023763976079647,0.2481054900234062,0.4495181123686292,market_anchor,3.125,3.82,2.12,-0.05507375747511034,-0.05223702811058828,-0.047021601778506006,2026-08-23T12:43:30.931Z,3.25,3.95,2.12,-0.01727670777411472,-0.019983314407545416,-0.047021601778506006,2026-08-23T12:22:04.288Z,3.25,3.95,2.12,-0.01727670777411472,-0.019983314407545416,-0.047021601778506006,duel,duel,onexbet,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-28-shanghai-shenhua-shandong-taishan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Shanghai Shenhua,Shandong Taishan,0.547397651951,0.22826212294898493,0.22434022510001508,market_anchor,1.816,4.12,3.82,-0.0059258640569840315,-0.059560053450182115,-0.1430203401179424,2026-08-22T12:35:41.933Z,1.85,4.3,3.9,0.012685656109350019,-0.018472871319364814,-0.12507312210994115,2026-08-22T12:44:57.302Z,1.85,4.3,3.9,0.012685656109350019,-0.018472871319364814,-0.12507312210994115,duel,duel,duel,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-28-shenzhen-xinpengcheng-shanghai-port,25,2026-08-28,12:00,2026-08-28T13:00:00+01:00,Shenzhen Xinpengcheng,Shanghai Port,0.2678212288019706,0.2519954738677024,0.480183297330327,market_anchor,3.22,3.82,2.07,-0.13761564325765452,-0.037377289825376914,-0.006020574526223177,2026-08-23T12:05:39.648Z,3.35,3.9,2.1,-0.10279888351339839,-0.017217651915960697,0.008384924393686655,2026-08-23T12:08:58.671Z,3.35,3.9,2.1,-0.10279888351339839,-0.017217651915960697,0.008384924393686655,duel,duel,duel,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-29-qingdao-hainiu-wuhan-three-towns,25,2026-08-29,09:00,2026-08-29T10:00:00+01:00,Qingdao Hainiu,Wuhan Three Towns,0.4351183540318261,0.27935582670552783,0.2855258192626461,market_anchor,2.625,3.42,2.625,0.14218567933354342,-0.044603072667094845,-0.250494724435554,2026-08-23T12:05:39.648Z,2.68,3.5,2.68,0.1661171888052939,-0.022254606530652588,-0.23479080437610844,2026-08-23T11:46:48.988Z,2.68,3.5,2.68,0.1661171888052939,-0.022254606530652588,-0.23479080437610844,duel,duel,duel,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-29-tianjin-jinmen-tiger-qingdao-west-coast,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Tianjin Jinmen Tiger,Qingdao West Coast,0.45264454022244255,0.2731727083805778,0.27418275139697984,market_anchor,1.992,3.42,3.84,-0.09833207587689441,-0.06574933733842403,0.05286176536440257,2026-08-22T12:35:41.933Z,2.04,3.7,3.7,-0.07660513794621715,0.010739021008137728,0.014476180168825348,2026-08-22T12:23:48.006Z,2.04,3.7,3.84,-0.07660513794621715,0.010739021008137728,0.05286176536440257,duel,duel,onexbet,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-29-zhejiang-professional-yunnan-yukun,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Zhejiang Professional,Yunnan Yukun,0.48521859360120734,0.23811643125200369,0.27666497514678906,market_anchor,2.04,4.12,3.125,-0.010154069053536996,-0.018960303241744803,-0.1354219526662842,2026-08-22T12:35:41.933Z,2.0,4.5,3.2,-0.029562812797585325,0.07152394063401668,-0.11467207953027492,2026-08-22T12:31:51.27Z,2.04,4.5,3.2,-0.010154069053536996,0.07152394063401668,-0.11467207953027492,onexbet,duel,duel,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-29-chengdu-rongcheng-liaoning-tieren,25,2026-08-29,11:35,2026-08-29T12:35:00+01:00,Chengdu Rongcheng,Liaoning Tieren,0.7382702212495575,0.16028821937510046,0.10144155937534204,market_anchor,1.3,5.95,8.5,-0.040248712375575146,-0.04628509471815223,-0.13774674530959274,2026-08-23T12:05:39.648Z,1.33,6.2,8.4,-0.01810060573808836,-0.0062130398743771575,-0.1478909012471269,2026-08-23T11:16:38.284Z,1.33,6.2,8.5,-0.01810060573808836,-0.0062130398743771575,-0.13774674530959274,duel,duel,onexbet,,,,,2026-08-27T05:33:15Z
CSL-2026-25-2026-08-29-henan-songshan-longmen-chongqing-tonglianglong,25,2026-08-29,12:00,2026-08-29T13:00:00+01:00,Henan Songshan Longmen,Chongqing Tonglianglong,0.5759509076134599,0.24189422843343195,0.18215486395310831,market_anchor,1.632,3.92,5.3,-0.060048118774833514,-0.051774624540946834,-0.034579221048525954,2026-08-23T12:43:30.931Z,1.66,4.0,5.4,-0.04392149336165663,-0.032423086266272216,-0.016363734653215056,2026-08-23T12:26:05.994Z,1.66,4.0,5.4,-0.04392149336165663,-0.032423086266272216,-0.016363734653215056,duel,duel,duel,,,,,2026-08-27T05:33:15Z
