fixture_id,season,round,match_date,home_team,away_team,home_goals,away_goals,result,status
CSL-2026-17-2026-07-03-yunnan-yukun-henan-songshan-longmen,2026,17,2026-07-03,Yunnan Yukun,Henan Songshan Longmen,2,1,H,finished
CSL-2026-17-2026-07-04-beijing-guoan-shandong-taishan,2026,17,2026-07-04,Beijing Guoan,Shandong Taishan,2,0,H,finished
CSL-2026-17-2026-07-04-dalian-yingbo-wuhan-three-towns,2026,17,2026-07-04,Dalian Yingbo,Wuhan Three Towns,3,2,H,finished
CSL-2026-17-2026-07-04-liaoning-tieren-chongqing-tonglianglong,2026,17,2026-07-04,Liaoning Tieren,Chongqing Tonglianglong,3,1,H,finished
CSL-2026-17-2026-07-04-qingdao-west-coast-shanghai-port,2026,17,2026-07-04,Qingdao West Coast,Shanghai Port,2,1,H,finished
CSL-2026-17-2026-07-04-tianjin-jinmen-tiger-shenzhen-xinpengcheng,2026,17,2026-07-04,Tianjin Jinmen Tiger,Shenzhen Xinpengcheng,3,0,H,finished
CSL-2026-17-2026-07-05-qingdao-hainiu-chengdu-rongcheng,2026,17,2026-07-05,Qingdao Hainiu,Chengdu Rongcheng,1,1,D,finished
CSL-2026-17-2026-07-05-shanghai-shenhua-zhejiang-professional,2026,17,2026-07-05,Shanghai Shenhua,Zhejiang Professional,3,2,H,finished
CSL-2026-18-2026-07-10-shandong-taishan-yunnan-yukun,2026,18,2026-07-10,Shandong Taishan,Yunnan Yukun,4,3,H,finished
CSL-2026-18-2026-07-11-chengdu-rongcheng-chongqing-tonglianglong,2026,18,2026-07-11,Chengdu Rongcheng,Chongqing Tonglianglong,1,1,D,finished
CSL-2026-18-2026-07-11-shenzhen-xinpengcheng-qingdao-west-coast,2026,18,2026-07-11,Shenzhen Xinpengcheng,Qingdao West Coast,3,0,H,finished
CSL-2026-18-2026-07-14-zhejiang-professional-qingdao-hainiu,2026,18,2026-07-14,Zhejiang Professional,Qingdao Hainiu,3,2,H,finished
CSL-2026-19-2026-07-17-beijing-guoan-liaoning-tieren,2026,19,2026-07-17,Beijing Guoan,Liaoning Tieren,1,1,D,finished
CSL-2026-19-2026-07-17-henan-songshan-longmen-qingdao-hainiu,2026,19,2026-07-17,Henan Songshan Longmen,Qingdao Hainiu,5,1,H,finished
CSL-2026-19-2026-07-17-qingdao-west-coast-chengdu-rongcheng,2026,19,2026-07-17,Qingdao West Coast,Chengdu Rongcheng,1,1,D,finished
CSL-2026-19-2026-07-17-yunnan-yukun-shanghai-port,2026,19,2026-07-17,Yunnan Yukun,Shanghai Port,2,2,D,finished
CSL-2026-19-2026-07-18-chongqing-tonglianglong-zhejiang-professional,2026,19,2026-07-18,Chongqing Tonglianglong,Zhejiang Professional,1,1,D,finished
CSL-2026-19-2026-07-18-dalian-yingbo-shandong-taishan,2026,19,2026-07-18,Dalian Yingbo,Shandong Taishan,3,1,H,finished
CSL-2026-19-2026-07-18-shanghai-shenhua-tianjin-jinmen-tiger,2026,19,2026-07-18,Shanghai Shenhua,Tianjin Jinmen Tiger,0,2,A,finished
CSL-2026-19-2026-07-18-wuhan-three-towns-shenzhen-xinpengcheng,2026,19,2026-07-18,Wuhan Three Towns,Shenzhen Xinpengcheng,2,0,H,finished
CSL-2026-20-2026-07-25-liaoning-tieren-qingdao-west-coast,2026,20,2026-07-25,Liaoning Tieren,Qingdao West Coast,0,1,A,finished
