Date,Home Team,Away Team,Home Win Probability,Draw Probability,Away Win Probability,Home -1 Handicap,Home -2 Handicap,Away -1 Handicap,Away -2 Handicap
2026-05-16,Beijing Guoan,Cangzhou,0.70277241825968,0.2946969229793781,0.002530658760941953,0.34403473482335456,0.1249238700776876,1.0841542586946362e-05,3.101320688069804e-08
2026-05-16,Beijing Guoan,Changchun Yatai,0.8075520467077821,0.15256395273557727,0.039884000556640604,0.5539011267601589,0.3074996324514137,0.005097474373116259,0.00046310645347105494
2026-05-16,Beijing Guoan,Chengdu Rongcheng,0.32136071703338853,0.3061951687822875,0.372444114184324,0.11701626712672845,0.032162842385243195,0.14726359474270342,0.044223706967098465
2026-05-16,Beijing Guoan,Chongqing Tonglianglong,0.3999560778645772,0.4230508874674559,0.17699303466796687,0.1252564188049387,0.02829667236899112,0.031176602698619448,0.0038561466788032362
2026-05-16,Beijing Guoan,Dalian Yingbo,0.6373304758325401,0.24603230968894463,0.11663721447851526,0.35141583003921667,0.15133845559875753,0.024517231856798265,0.003747444845018331
2026-05-16,Beijing Guoan,Henan Songshan Longmen,0.534137639447354,0.2721419966198221,0.19372036393282388,0.26743079268314973,0.10415336263230536,0.05566828199033101,0.011921784676003164
2026-05-16,Beijing Guoan,Liaoning Tieren,0.7650158849625843,0.1685233952672991,0.06646071977011658,0.5128121453769473,0.2795069422057102,0.012408839274681322,0.0016926248784204395
2026-05-16,Beijing Guoan,Meizhou Hakka,0.857665910431828,0.1030125841700601,0.03932150539811186,0.6700847878124809,0.4472304971284888,0.007481489631390046,0.001060730799883217
2026-05-16,Beijing Guoan,Qingdao Hainiu,0.7151079448706128,0.18796946898899247,0.09692258614039474,0.4610542129274102,0.24145417484942494,0.022701956643304506,0.003959378915155597
2026-05-16,Beijing Guoan,Qingdao West Coast,0.6654631769302745,0.23077127799584318,0.10376554507388236,0.38242868891167986,0.17284071206090634,0.02100966097640573,0.0030918700840665615
2026-05-16,Beijing Guoan,Shandong Taishan,0.533470871219886,0.25694114249444433,0.20958798628566966,0.2783357045094477,0.11453822781058275,0.06732117057263101,0.016391209755241377
2026-05-16,Beijing Guoan,Shanghai Port,0.544230600718513,0.24638357227401925,0.20938582700746772,0.29382079552307444,0.1262580963483108,0.0698401551479926,0.01780378766387962
2026-05-16,Beijing Guoan,Shanghai Shenhua,0.43024785894285705,0.2683021395698702,0.3014500014872727,0.20242981567615528,0.0747263953789318,0.11839086740480455,0.03593739636482901
2026-05-16,Beijing Guoan,Shenzhen Xinpengcheng,0.785007875707981,0.16449843283377133,0.050493691458247635,0.526498035125216,0.28510626830701696,0.00747771297275189,0.0007938720935404279
2026-05-16,Beijing Guoan,Tianjin Jinmen Tiger,0.6636691224266681,0.23385239946876393,0.10247847810456798,0.3782057005965339,0.1690634199836965,0.020253583870477203,0.002901700956975437
2026-05-16,Beijing Guoan,Wuhan Three Towns,0.7567174522879647,0.16892898750356206,0.07435356020847322,0.5088876451574879,0.2795515600866452,0.01533901895595538,0.002334871981878335
2026-05-16,Beijing Guoan,Yunnan Yukun,0.7279075864736306,0.18297621699182778,0.08911619653454159,0.4744491102850303,0.2513723487135354,0.019927963552676155,0.003305175007204657
