fixture_id,round,match_date,match_time,kickoff_at,home_team,away_team,home_win_prob,draw_prob,away_win_prob,debias_method,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,onexbet_open_home_odds,onexbet_open_draw_odds,onexbet_open_away_odds,onexbet_open_home_ev,onexbet_open_draw_ev,onexbet_open_away_ev,onexbet_open_last_update,duel_open_home_odds,duel_open_draw_odds,duel_open_away_odds,duel_open_home_ev,duel_open_draw_ev,duel_open_away_ev,duel_open_last_update,best_open_home_odds,best_open_draw_odds,best_open_away_odds,best_open_home_ev,best_open_draw_ev,best_open_away_ev,best_open_home_book,best_open_draw_book,best_open_away_book,open_home_odds,open_draw_odds,open_away_odds,open_last_update,signal_pick,signal_state,signal_book,signal_books
CSL-2026-25-2026-08-28-dalian-yingbo-beijing-guoan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Dalian Yingbo,Beijing Guoan,0.30237993383091877,0.2481054900234062,0.449514576145675,market_anchor,2.97,4.05,2.16,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,3.125,3.82,2.12,-0.05506270677837888,-0.05223702811058828,-0.04702909857116888,2026-08-23T12:43:30.931Z,3.25,3.95,2.12,-0.01726521504951406,-0.019983314407545416,-0.04702909857116888,2026-08-23T12:22:04.288Z,3.25,3.95,2.12,-0.01726521504951406,-0.019983314407545416,-0.04702909857116888,duel,duel,onexbet,3.03,3.78,2.12,2026-08-23T12:30:50Z,,,,
CSL-2026-25-2026-08-28-shanghai-shenhua-shandong-taishan,25,2026-08-28,11:35,2026-08-28T12:35:00+01:00,Shanghai Shenhua,Shandong Taishan,0.5473998621746851,0.22826212294898493,0.22433801487632993,market_anchor,1.72,4.41,4.17,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,1.816,4.12,3.82,-0.005921850290771857,-0.059560053450182115,-0.14302878317241974,2026-08-22T12:35:41.933Z,1.85,4.3,3.9,0.012689745023167331,-0.018472871319364814,-0.12508174198231325,2026-08-22T12:44:57.302Z,1.85,4.3,3.9,0.012689745023167331,-0.018472871319364814,-0.12508174198231325,duel,duel,duel,1.79,4.1,3.76,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-28-shenzhen-xinpengcheng-shanghai-port,25,2026-08-28,12:00,2026-08-28T13:00:00+01:00,Shenzhen Xinpengcheng,Shanghai Port,0.26786204867225794,0.2519954738677024,0.48014247746003974,market_anchor,3.08,3.82,2.18,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,3.22,3.82,2.07,-0.1374842032753294,-0.037377289825376914,-0.006105071657717787,2026-08-23T12:05:39.648Z,3.35,3.9,2.1,-0.10266213694793591,-0.017217651915960697,0.008299202666083527,2026-08-23T12:08:58.671Z,3.35,3.9,2.1,-0.10266213694793591,-0.017217651915960697,0.008299202666083527,duel,duel,duel,3.2,3.72,2.06,2026-08-23T11:54:42Z,,,,
CSL-2026-25-2026-08-29-qingdao-hainiu-wuhan-three-towns,25,2026-08-29,09:00,2026-08-29T10:00:00+01:00,Qingdao Hainiu,Wuhan Three Towns,0.43512040581390593,0.27935582670552783,0.28552376748056624,market_anchor,2.74,3.43,2.51,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,2.625,3.42,2.625,0.14219106526150305,-0.044603072667094845,-0.2505001103635136,2026-08-23T12:05:39.648Z,2.68,3.5,2.68,0.16612268758126802,-0.022254606530652588,-0.23479630315208244,2026-08-23T11:46:48.988Z,2.68,3.5,2.68,0.16612268758126802,-0.022254606530652588,-0.23479630315208244,duel,duel,duel,2.61,3.36,2.6,2026-08-23T11:54:42Z,,,,
CSL-2026-25-2026-08-29-tianjin-jinmen-tiger-qingdao-west-coast,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Tianjin Jinmen Tiger,Qingdao West Coast,0.4526482318245329,0.2731727083805778,0.2741790597948895,market_anchor,1.97,3.38,3.93,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,1.992,3.42,3.84,-0.09832472220553046,-0.06574933733842403,0.05284758961237568,2026-08-22T12:35:41.933Z,2.04,3.7,3.7,-0.07659760707795282,0.010739021008137728,0.014462521241091153,2026-08-22T12:23:48.006Z,2.04,3.7,3.84,-0.07659760707795282,0.010739021008137728,0.05284758961237568,duel,duel,onexbet,1.97,3.43,3.73,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-29-zhejiang-professional-yunnan-yukun,25,2026-08-29,11:00,2026-08-29T12:00:00+01:00,Zhejiang Professional,Yunnan Yukun,0.4851916520359954,0.23811643125200369,0.2766919167120009,market_anchor,1.93,3.93,3.53,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,2.04,4.12,3.125,-0.01020902984656935,-0.018960303241744803,-0.13533776027499722,2026-08-22T12:35:41.933Z,2.0,4.5,3.2,-0.029616695928009196,0.07152394063401668,-0.11458586652159708,2026-08-22T12:31:51.27Z,2.04,4.5,3.2,-0.01020902984656935,0.07152394063401668,-0.11458586652159708,onexbet,duel,duel,2.03,3.93,3.11,2026-08-22T12:53:34Z,,,,
CSL-2026-25-2026-08-29-chengdu-rongcheng-liaoning-tieren,25,2026-08-29,11:35,2026-08-29T12:35:00+01:00,Chengdu Rongcheng,Liaoning Tieren,0.7382710622489335,0.16028821937510046,0.10144071837596606,market_anchor,1.3,5.86,7.98,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,1.3,5.95,8.5,-0.04024761907638652,-0.04628509471815223,-0.13775389380428849,2026-08-23T12:05:39.648Z,1.33,6.2,8.4,-0.018099487208918408,-0.0062130398743771575,-0.14789796564188507,2026-08-23T11:16:38.284Z,1.33,6.2,8.5,-0.018099487208918408,-0.0062130398743771575,-0.13775389380428849,duel,duel,onexbet,1.29,5.8,7.81,2026-08-23T11:20:36Z,,,,
CSL-2026-25-2026-08-29-henan-songshan-longmen-chongqing-tonglianglong,25,2026-08-29,12:00,2026-08-29T13:00:00+01:00,Henan Songshan Longmen,Chongqing Tonglianglong,0.5759526670526552,0.24189422843343195,0.18215310451391276,market_anchor,1.61,3.9,5.38,pinnacle,h2h,us,2026-08-27T19:07:01Z,2026-08-27T19:07:04Z,1.632,3.92,5.3,-0.06004524737006667,-0.051774624540946834,-0.03458854607626238,2026-08-23T12:43:30.931Z,1.66,4.0,5.4,-0.04391857269259236,-0.032423086266272216,-0.01637323562487103,2026-08-23T12:26:05.994Z,1.66,4.0,5.4,-0.04391857269259236,-0.032423086266272216,-0.01637323562487103,duel,duel,duel,1.6,3.85,5.29,2026-08-23T12:30:50Z,,,,
