Team,Attack,Defense,Const,HomeAdv,Matches,WeightedMatches,Date
Beijing Guoan,0.29631491701222795,-0.14710455987393653,0.24684539348503895,0.28297910878439214,48,37.28224681286658,2026-07-27
Changchun Yatai,-0.4806397214654666,0.12784565346147703,0.24684539348503895,0.28297910878439214,30,20.505552340603312,2026-07-27
Chengdu Rongcheng,0.3320246083746739,-0.36643783434083405,0.24684539348503895,0.28297910878439214,49,38.22467147007632,2026-07-27
Chongqing Tonglianglong,-0.4247558996668346,-0.20710030781827665,0.24684539348503895,0.28297910878439214,19,17.72566652687236,2026-07-27
Dalian Yingbo,-0.07405962907920702,-0.05397510470765974,0.24684539348503895,0.28297910878439214,48,37.26651787969533,2026-07-27
Henan Songshan Longmen,0.09783300261458677,-0.13139793289719115,0.24684539348503895,0.28297910878439214,48,37.277212540905005,2026-07-27
Liaoning Tieren,0.03873653505674534,0.15037106370436557,0.24684539348503895,0.28297910878439214,18,16.732551744176018,2026-07-27
Meizhou Hakka,-0.16464298429915739,0.3726508871497104,0.24684539348503895,0.28297910878439214,29,19.771554842797254,2026-07-27
Qingdao Hainiu,-0.0460413683720113,0.1658007768940741,0.24684539348503895,0.28297910878439214,47,36.50619393951413,2026-07-27
Qingdao West Coast,-0.10776204419977481,-0.03031097451840186,0.24684539348503895,0.28297910878439214,49,38.30380168527761,2026-07-27
Shandong Taishan,0.3086840093213209,0.01776547426842366,0.24684539348503895,0.28297910878439214,48,37.48570051218158,2026-07-27
Shanghai Port,0.1976555830319512,-0.05366014915802154,0.24684539348503895,0.28297910878439214,48,37.27505195522752,2026-07-27
Shanghai Shenhua,0.33124836828116877,-0.1598713981652676,0.24684539348503895,0.28297910878439214,48,37.24232298482858,2026-07-27
Shenzhen Xinpengcheng,-0.22107709811737308,0.1684247670286254,0.24684539348503895,0.28297910878439214,49,38.25405320958493,2026-07-27
Tianjin Jinmen Tiger,-0.163035032710421,-0.08299548678278652,0.24684539348503895,0.28297910878439214,48,37.23664358921892,2026-07-27
Wuhan Three Towns,-0.04327618739702021,0.15980790150939383,0.24684539348503895,0.28297910878439214,48,37.26388907957599,2026-07-27
Yunnan Yukun,0.054217615951869774,0.07648201763580817,0.24684539348503895,0.28297910878439214,48,37.48359431173998,2026-07-27
Zhejiang Professional,0.06857532566272141,-0.00629479338950265,0.24684539348503895,0.28297910878439214,48,37.23336985385473,2026-07-27
